District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Koppal,Gangavathi Rural PS,0053/2022,1,2022,2,2022-02-11 03:30:00.000,2022-02-11 03:31:00.000,2022-02-11 10:00:00.000,11/02/2022,Heinous,Pending Trial,Written,DACOITY,On Other Roads,15.443533,76.443829,"IPC 1860 U/s: 398,397,395 ",MANJUNATH   (PI),2282164,,161000043,"Gangavathi Koppral Road, Gangavathi Koppral Road",12 Km west from ps,04,Siddikeri,5,0,0,0,0,0,12,0,0,0,12,0,2022000064,1171,10468117120220053,-1
Bengaluru Dist,Madanayakanahally PS,0030/2019,1,2019,1,2018-12-30 21:00:00.000,2018-12-30 21:30:00.000,2019-01-21 10:00:00.000,21/01/2019,Heinous,Pending Trial,Written,DACOITY,On Other Roads,12.992213,77.459058,"IPC 1860 U/s: 397,395 ",MANJUNATHA B S   (PI),1962675,,133300019,"Behind Road Of Jinnagaramma Temple,Ravuttanahalli, Behind Road Of Jinnagaramma Temple,Ravuttanahalli",6 kms Towards South,7,AVVERAHALLI,1,0,0,0,0,0,1,3,0,3,4,0,2019000033,1914,10442191420190030,-1
Mysuru City,Laxmipuram PS,0013/2020,1,2020,3,2020-01-14 23:30:00.000,2020-01-15 12:30:00.000,2020-03-11 11:30:00.000,11/03/2020,Heinous,Pending Trial,Written,DACOITY,On Other Roads,12.298584,76.64743,"IPC 1860 U/s: 341,323,324,504,307,395,363,364A,342,149 ",Mohit Sahadev   (PI),1992080,,113700039,"INFRONT OF PASTRY BAKERY,  NEAR TRILOK BAR, INFRONT OF PASTRY BAKERY,  NEAR TRILOK BAR",1 KM TOWARDS NORTH,BEAT 02,KAKARAWADI,1,0,0,0,0,0,7,7,0,7,7,0,2020000019,49,10973004920200013,-1
Bengaluru City,Hanumanthanagar PS,0307/2017,1,2017,10,2017-10-06 00:30:00.000,2017-10-06 00:45:00.000,2017-10-07 21:00:00.000,07/10/2017,Heinous,Pending Trial,Oral,DACOITY,On Other Roads,12.94362,77.56679,IPC 1860 U/s: 397 ,PRASHANTH K   (PI),999285,,174200005,"Near Mount Joy Extn Road, Near Mount Joy Extn Road",1.5kms Towards North,BEAT 5,BANASHANKARI FIRST STSTAGE,1,0,0,0,0,0,6,0,0,0,6,0,2017000338,1366,10443136620170307,-1
Mysuru City,Metagalli PS,0011/2021,1,2021,2,2021-02-01 01:30:00.000,2021-02-01 04:00:00.000,2021-02-02 02:10:00.000,02/02/2021,Heinous,Pending Trial,Oral,DACOITY,On Other Roads,12.353489,76.636022,"IPC 1860 U/s: 394,397 ",MALLESH.A   (PI),1962736,,5800038,"Near GTTC   MUD ROAD KRS ROAD  MYSUR CITY ,, Near GTTC   MUD ROAD KRS ROAD  MYSUR CITY ,",Towards 4 KM North,BEAT NO 6,Metagalli Ind Area,1,0,0,0,0,0,3,3,0,3,5,0,2021000012,42,10973004220210011,-1
Bengaluru City,High Grounds PS,0123/2017,1,2017,7,2017-07-19 03:40:00.000,2017-07-19 04:00:00.000,2017-07-19 05:45:00.000,19/07/2017,Heinous,Pending Trial,Written,DACOITY,On Other Roads,12.594448,77.352226,IPC 1860 U/s: 395 ,LAKSHMIKANTHAIAH G   (PI),1895514.0,,140800033,"Near Main Palace Entry Gate,, Near Main Palace Entry Gate,",1.5 KM Towards North,BEAT 01,CHAKRAVARTHI LAYOUT,1,0,0,0,0,0,0,6,0,6,6,0,2017000134,1394,10443139420170123,-1
Tumakuru,Tumakuru Town PS,0087/2021,1,2021,6,2021-06-29 21:40:00.000,2021-06-29 22:00:00.000,2021-06-30 10:30:00.000,30/06/2021,Heinous,Pending Trial,Written,DACOITY,On Other Roads,13.363014,77.112248,"IPC 1860 U/s: 395,201,397,489 ",Naveen. B   (PI),1966702,,134000014,"Near Ganapathi Temple, Puttaswamaiahnapalaya,, Near Ganapathi Temple, Puttaswamaiahnapalaya,",Towards North 3 KM,01 Beat,SIRAGATE,1,0,0,0,0,0,6,6,0,6,6,0,2021000130,1080,10464108020210087,-1
Bengaluru City,R.M.C. Yard PS,0158/2016,1,2016,9,2016-09-18 02:00:00.000,2016-09-18 02:05:00.000,2016-09-26 14:10:00.000,26/09/2016,Heinous,Pending Trial,Written,DACOITY,On Other Roads,13.02878912,77.53977509,"IPC 1860 U/s: 397,395 ",MOHAMMED MUKARRAM   (PI),1895533.0,,600002,"CMTI SIGNAL. TUMKURU ROAD, CMTI SIGNAL. TUMKURU ROAD",TOWERDS WEST 1 KM,Beat No 3,Goraguntepalya Circle,0,0,0,0,0,0,6,0,0,0,7,0,2016000189,1349,10443134920160158,-1
Bengaluru City,Mico Layout PS,0130/2021,1,2021,7,2021-05-29 02:00:00.000,2021-05-29 02:30:00.000,2021-07-07 20:50:00.000,07/07/2021,Heinous,Pending Trial,Written,DACOITY,On Other Roads,12.901049,77.60089,IPC 1860 U/s: 397 ,R.S.CHOUDHARI   (PI),1845473,,125500034,"ON FOOTFATH, OPP LENOVA SHOP, BANNERUGATTA, ON FOOTFATH, OPP LENOVA SHOP, BANNERUGATTA",Towards South 2.5km from PS,BEAT NO 5,BILEKAHALLI,1,0,0,0,0,0,6,0,0,0,6,0,2021000163,1381,10443138120210130,-1
Bengaluru City,Madivala PS,0123/2023,1,2023,6,2023-06-01 03:00:00.000,2023-06-01 03:15:00.000,2023-06-02 19:00:00.000,02/06/2023,Heinous,Pending Trial,Written,DACOITY,On Other Roads,12.92323,77.61329,"IPC 1860 U/s: 397,395 ",Mohamad M A   (PI),1993041,,189600049,"Dhananjaya reddy house Opp, 3rd cross, Cashier, Dhananjaya reddy house Opp, 3rd cross, Cashier",1.5 KM Towards west,BEAT NO 1,KENDRIYA SADANA,1,0,0,0,0,0,2,7,0,7,11,0,2023000186,1380,10443138020230123,-1
